id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,amenities,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,kitchen_appliances,lobby_in_building,maid_service,maids_room,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
8911414,Jumeirah Village Circle,25.05761,55.199182,45000,705,63.83,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,childrens_play_area,childrens_pool,covered_parking,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,shared_spa,",True,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False
8934175,Jumeirah Village Circle,25.056225,55.20458,34999,398,87.94,0,1,High,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,lobby_in_building,security,shared_gym,shared_pool,vastu_compliant,walk_in_closet,",True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
8834506,Dubai Sports City,25.041617,55.206766,180000,2147,83.84,3,3,Low,"balcony,",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8927831,Jumeirah Village Triangle,25.048237,55.195021,63000,1109,56.81,2,3,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,security,shared_gym,shared_pool,vastu_compliant,walk_in_closet,",True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
8917454,Umm Suqeim,25.136864,55.188892,265000,2442,108.52,2,2,Medium,"furnished,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,kitchen_appliances,pets_allowed,shared_gym,shared_pool,",True,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
8914043,Jumeirah Village Circle,25.051611,55.208998,45000,380,118.42,0,1,High,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,walk_in_closet,",True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
8912500,Jumeirah Village Circle,25.051513,55.207733,60000,768,78.12,1,2,High,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,pets_allowed,security,shared_gym,shared_pool,shared_spa,study,walk_in_closet,",True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True
8936157,Jumeirah Village Circle,25.05448,55.220895,64000,980,65.31,2,2,High,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,lobby_in_building,security,shared_gym,shared_pool,vastu_compliant,walk_in_closet,",True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
8934851,Jumeirah Village Circle,25.05336,55.206285,65000,831,78.22,1,2,High,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,lobby_in_building,security,shared_gym,shared_pool,vastu_compliant,walk_in_closet,",True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
8901621,Arjan,25.060419,55.240591,48000,931,51.56,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,concierge,covered_parking,lobby_in_building,security,shared_gym,shared_pool,view_of_landmark,",True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
8906862,Downtown Dubai,25.193641,55.284662,115000,860,133.72,1,2,Medium,"furnished,balcony,built_in_wardrobes,central_ac,concierge,covered_parking,kitchen_appliances,maid_service,security,shared_gym,shared_pool,view_of_landmark,",True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
8890265,Dubai Production City (IMPZ),25.027415,55.181391,39999,662,60.42,1,2,Medium,"furnished,balcony,central_ac,childrens_play_area,covered_parking,lobby_in_building,shared_gym,shared_pool,",True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8890015,Al Jaddaf,25.212393,55.316262,44999,705,63.83,1,1,Medium,"unfurnished,balcony,central_ac,covered_parking,lobby_in_building,shared_gym,shared_pool,",True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8891702,Jumeirah Park,25.047439,55.155191,250000,5489,45.55,3,4,Low,"unfurnished,balcony,built_in_wardrobes,maids_room,private_garden,walk_in_closet,",True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
8933190,Jumeirah Village Circle,25.050677,55.213752,72000,968,74.38,1,2,High,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,study,vastu_compliant,walk_in_closet,",True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True
8921124,Arjan,25.063354,55.236043,57000,1194,47.74,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,kitchen_appliances,security,shared_gym,shared_pool,",True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
