id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,amenities,partly_furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,lobby_in_building,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
8942101,Palm Jumeirah,25.137942000000002,55.126877,18500050,2000,9250.02,2,4,Ultra,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,maids_room,pets_allowed,private_garden,private_gym,private_pool,security,shared_gym,shared_pool,shared_spa,view_of_landmark,view_of_water,walk_in_closet,",False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True
8941919,Abu Dhabi,24.534219,54.405727,992675,488,2034.17,0,1,Low,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,shared_pool,",False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8941918,Abu Dhabi,24.532288,54.445467,580000,480,1208.33,0,1,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,shared_gym,shared_pool,view_of_water,",False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
8941917,Abu Dhabi,24.311142,54.621775,765000,100,7650.0,1,2,Low,"unfurnished,balcony,central_ac,covered_parking,shared_gym,",False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8942093,Palm Jumeirah,25.137942000000002,55.126877,18600000,2000,9300.0,2,4,Ultra,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,maids_room,pets_allowed,private_garden,private_pool,security,shared_gym,shared_pool,shared_spa,study,view_of_landmark,view_of_water,walk_in_closet,",False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True
8941914,Dubai Harbour,25.099399,55.142134999999996,1795995,894,2008.94,1,2,Medium,"unfurnished,balcony,central_ac,maids_room,pets_allowed,shared_gym,shared_pool,study,view_of_water,",False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False
8941913,Abu Dhabi,24.53526,54.40466800000001,902000,506,1782.61,0,1,Low,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,shared_pool,",False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8942083,Ajman,25.386924,55.459359,235000,1019,230.62,1,2,Low,"unfurnished,balcony,central_ac,pets_allowed,security,",False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
8942081,Sharjah,25.315569,55.474129000000005,560000,751,745.67,1,2,Medium,"unfurnished,built_in_wardrobes,central_ac,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,security,shared_gym,shared_pool,",False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
8941897,Abu Dhabi,24.535068,54.403064,2550000,810,3148.15,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,shared_gym,shared_pool,view_of_water,",False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
8942042,Dubai Silicon Oasis,25.123114,55.398633999999994,625000,796,785.18,1,2,Medium,"unfurnished,balcony,central_ac,childrens_pool,covered_parking,lobby_in_building,security,shared_gym,shared_pool,",False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
8941888,Abu Dhabi,24.535068,54.403064,2450000,805,3043.48,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,pets_allowed,shared_gym,shared_pool,view_of_water,",False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
8941887,Abu Dhabi,24.538937,54.410474,2900000,1296,2237.65,1,2,Low,"unfurnished,balcony,built_in_wardrobes,central_ac,covered_parking,shared_pool,",False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8941884,Abu Dhabi,24.535068,54.403064,2500000,807,3097.89,1,2,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,shared_gym,shared_pool,",False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8941883,Abu Dhabi,24.538937,54.410474,5900000,2021,2919.35,2,3,Medium,"unfurnished,balcony,built_in_wardrobes,central_ac,childrens_play_area,concierge,covered_parking,kitchen_appliances,maids_room,shared_gym,shared_pool,",False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8941881,Greens,25.091939,55.173463,1250000,1093,1143.64,2,2,Medium,"unfurnished,balcony,built_in_wardrobes,covered_parking,pets_allowed,security,shared_gym,shared_pool,",False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False
8941871,Dubai Sports City,25.043459,55.214259999999996,800000,1566,510.86,2,3,Low,"unfurnished,balcony,central_ac,covered_parking,shared_gym,shared_pool,",False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
8941870,Jumeirah Beach Residence,25.076654,55.134094,2600000,1469,1769.91,2,2,Medium,"furnished,balcony,central_ac,concierge,covered_parking,private_garden,security,shared_gym,shared_pool,view_of_landmark,",True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False
8941869,Jumeirah Village Circle,25.05632,55.2206,500000,878,569.48,1,2,Medium,"unfurnished,balcony,central_ac,covered_parking,pets_allowed,security,shared_gym,shared_pool,view_of_landmark,",False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False
8941868,Dubai Marina,25.074439,55.133386,1300000,1219,1066.45,0,1,Low,"unfurnished,balcony,covered_parking,shared_gym,",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8941866,Abu Dhabi,24.450602,54.6002,1880000,1196,1571.91,2,3,Medium,"unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,pets_allowed,shared_gym,shared_pool,view_of_water,",False,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
8941863,Abu Dhabi,24.838091,55.017587,750000,1032,726.74,2,2,Medium,"furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,covered_parking,pets_allowed,shared_gym,shared_pool,",True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
8941860,Abu Dhabi,24.50901,54.406788,1100000,1076,1022.3,2,2,Medium,"unfurnished,balcony,barbecue_area,central_ac,childrens_play_area,covered_parking,pets_allowed,shared_gym,shared_pool,",False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
8941854,Dubai Marina,25.068151,55.129647,1500000,1490,1006.71,2,3,Medium,"unfurnished,balcony,built_in_wardrobes,concierge,covered_parking,kitchen_appliances,security,shared_gym,shared_pool,view_of_landmark,view_of_water,",False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False
